"","text"
"1","dull taste high price  finish overhyped  disappointing"
"2","delicious sugared red fruits  sweet   morish cinnamon aromatic depth"
"3","    whisky expert   really love  taste  experience    would describe   comfortable like  snug   blanket   cold rainy day  sip    friend   night   enjoyed  flavors   said    expensive   feel    price  could get  better whisky    saying      age  rather  think   get    scotch   price        vault already  really enjoyable"
"4","   terrible yamazaki   young unsherried  finish   yamazaki   slightly better   new hibiki nas harmony  still better   better value   yamazaki    limited edition yamazakis brought   year  good value   excellent every day dram  yamazaki     good sherry bomb unfortunately insanely overpriced  yamazaki sherry cask  one  great bottles difficult  obtain   yamazaki     world     bears  relation     others    one   greatest whisky expressions ever created"
"5","first time   like   fresh   thin   sweet depth    know  like  whisky   cant stop smelling  empty glass"
"6"," cant believe   commenters   fawning   particular reserve    real  whisky  nonsensical   price  unworthy    hype  yamazaki  singke malts   getting   coarse  doesnt seem  far removed  labgrade alcohol  distiller  never  released     take  customers  fools disappointment"
"7"," friend brought bottle    japan    wes  good   havent  tried anything better since"
"8","nice  like  vanilla     goods "
"9","stands  glenfiddich    similarities  think   nicer  im  sure  thats worth  price difference"
"10","recommended   friend"
"11","  good   hype would   believe  still   good whisky  something  would buy      get much   fruity tastes  expected   taste  faint trace  coconut     look real hard   "
"12","   far cry  yamazaki    describe   yamazaki  well better   nectar  gods  one  amazing   try   proper tasting glass  worth  price   nose alone brilliant balance  fruit nuts  oak fruits   apparent palate  sweet  bit spicy   little burn  nothing  spoil  pleasure finish  long  smooth  pleasant spice   end truly delicious  definitely   list   favourites  "
"13","recommended   friend "
"14","rather disappointing cant really taste      rather flat  alcohol  oak doesnt really improve  water  melting ice dilutes  much   zastes like  cheap whisky suntory  generally overpriced  one especially  yo glenfiddich    better      compliment think   buy soda  try highballing   normally   way  drinking whisky"
"15","strong alcohol smell  added water  lift   alcohol   young whiskey  sweet pear flavor fresh   long lasting end note "
"16","   version  yamazaki    tried  one   best single malts  ever tasted behind   discontinued miyagikyo     place among  places   glengoyne arran glendronach etc  yamazaki   good malt taste complemented  several flavors  im  able  distinguish   delicious    medium finish   bit  effervescence   love good job yamazaki"
